Meses	Producto	Provincia	Tienda	Departamento	 Ventas 	 Beneficio 
may-25	Camiseta Deporte Naranja	Barcelona	Tienda 6	Textil	 6.895 € 	 3.266 € 
jun-25	Camiseta Deporte verde	Barcelona	Tienda 6	Textil	 7.683 € 	 868 € 
jul-25	Pantalón Vaquero	Barcelona	Tienda 6	Textil	 9.555 € 	 7.072 € 
ago-25	Pantalón Vestir	Barcelona	Tienda 6	Textil	 4.876 € 	 216 € 
ene-25	"Televisión 40"""	Barcelona	Tienda 6	Electrodoméstico	 3.938 € 	 3.106 € 
feb-25	"Televisión 49"""	Barcelona	Tienda 1	Electrodoméstico	 6.067 € 	 2.028 € 
mar-25	"Televisión 52"""	Barcelona	Tienda 1	Electrodoméstico	 2.869 € 	 2.184 € 
abr-25	"Televisión 49"""	Barcelona	Tienda 1	Electrodoméstico	 8.238 € 	 4.228 € 
may-25	"Televisión 52"""	Barcelona	Tienda 1	Electrodoméstico	 7.726 € 	 2.530 € 
jun-25	Portátil Elite	Barcelona	Tienda 3	Informática	 2.947 € 	 1.737 € 
jul-25	Portátil Básico	Barcelona	Tienda 3	Informática	 2.493 € 	 968 € 
ago-25	Bicicleta Carrera	Barcelona	Tienda 3	Deporte	 5.249 € 	 82 € 
ene-25	Bicicleta Montaña	Barcelona	Tienda 3	Deporte	 3.722 € 	 2.029 € 
feb-25	Raqueta Tenis	Sevilla	Tienda 1	Deporte	 6.569 € 	 2.129 € 
mar-25	Vino Tinto Crianza	Sevilla	Tienda 1	Bebida	 1.121 € 	 963 € 
abr-25	Vino Blanco Seco	Sevilla	Tienda 4	Bebida	 6.677 € 	 3.431 € 
may-25	Vino Blanco Dulce	Sevilla	Tienda 4	Bebida	 8.488 € 	 7.794 € 
jun-25	Camiseta Deporte Naranja	Sevilla	Tienda 4	Textil	 1.400 € 	 758 € 
jul-25	Camiseta Deporte verde	Sevilla	Tienda 1	Textil	 5.179 € 	 4.259 € 
ago-25	Pantalón Vaquero	Sevilla	Tienda 4	Textil	 9.975 € 	 6.502 € 
ene-25	Camiseta Deporte Naranja	Sevilla	Tienda 4	Textil	 9.823 € 	 1.011 € 
feb-25	Camiseta Deporte verde	Sevilla	Tienda 1	Textil	 3.648 € 	 2.690 € 
mar-25	Pantalón Vaquero	Sevilla	Tienda 6	Textil	 9.624 € 	 9.041 € 
abr-25	Pantalón Vestir	Sevilla	Tienda 6	Textil	 1.922 € 	 823 € 
may-25	"Televisión 40"""	Sevilla	Tienda 6	Electrodoméstico	 6.702 € 	 5.345 € 
jun-25	"Televisión 49"""	Sevilla	Tienda 6	Electrodoméstico	 3.457 € 	 1.391 € 
jul-25	"Televisión 52"""	Sevilla	Tienda 1	Electrodoméstico	 4.417 € 	 274 € 
ago-25	Portátil Elite	Sevilla	Tienda 1	Informática	 3.263 € 	 507 € 
ene-25	Portátil Básico	Las palmas	Tienda 1	Informática	 3.793 € 	 27 € 
feb-25	Bicicleta Carrera	Las palmas	Tienda 1	Deporte	 6.341 € 	 5.061 € 
mar-25	Bicicleta Montaña	Las palmas	Tienda 3	Deporte	 4.953 € 	 2.388 € 
abr-25	Raqueta Tenis	Las palmas	Tienda 3	Deporte	 4.029 € 	 3.716 € 
may-25	Raqueta Squash	Las palmas	Tienda 2	Deporte	 8.564 € 	 6.945 € 
jun-25	Jamón Ibérico	Las palmas	Tienda 2	Alimentación	 6.185 € 	 4.152 € 
jul-25	Jamón Bellota	Las palmas	Tienda 2	Alimentación	 6.945 € 	 1.429 € 
ago-25	Vino Tinto Gran Reserva	Las palmas	Tienda 4	Bebida	 6.562 € 	 2.201 € 
ene-25	Vino Tinto Crianza	Las palmas	Tienda 4	Bebida	 2.354 € 	 2.280 € 
feb-25	Vino Blanco Seco	Las palmas	Tienda 4	Bebida	 9.088 € 	 4.245 € 
mar-25	Vino Blanco Dulce	Las palmas	Tienda 4	Bebida	 5.680 € 	 4.965 € 
abr-25	Camiseta Deporte Naranja	Las palmas	Tienda 6	Textil	 9.427 € 	 782 € 
may-25	Camiseta Deporte verde	Las palmas	Tienda 6	Textil	 9.806 € 	 2.525 € 
jun-25	Pantalón Vaquero	Las palmas	Tienda 6	Textil	 1.285 € 	 499 € 
jul-25	Pantalón Vestir	Las palmas	Tienda 4	Textil	 7.055 € 	 1.792 € 
ago-25	"Televisión 40"""	Las palmas	Tienda 1	Electrodoméstico	 3.854 € 	 1.401 € 
ene-25	Pantalón Vaquero	Lugo	Tienda 1	Textil	 2.797 € 	 795 € 
feb-25	Camiseta Deporte Naranja	Lugo	Tienda 3	Textil	 7.321 € 	 6.353 € 
mar-25	Camiseta Deporte verde	Lugo	Tienda 3	Textil	 3.524 € 	 2.130 € 
abr-25	Pantalón Vaquero	Lugo	Tienda 3	Textil	 4.155 € 	 122 € 
may-25	Pantalón Vestir	Lugo	Tienda 3	Textil	 9.774 € 	 3.243 € 
jun-25	"Televisión 40"""	Lugo	Tienda 3	Electrodoméstico	 8.475 € 	 6.849 € 
jul-25	"Televisión 49"""	Lugo	Tienda 1	Electrodoméstico	 8.190 € 	 3.533 € 
ago-25	"Televisión 52"""	Lugo	Tienda 1	Electrodoméstico	 7.790 € 	 1.464 € 
ene-25	Portátil Elite	Lugo	Tienda 1	Informática	 7.442 € 	 3.370 € 
feb-25	Portátil Básico	Lugo	Tienda 6	Informática	 3.272 € 	 1.237 € 
mar-25	Bicicleta Carrera	Lugo	Tienda 6	Deporte	 9.699 € 	 6.357 € 
abr-25	Bicicleta Montaña	Lugo	Tienda 6	Deporte	 6.861 € 	 6.585 € 
may-25	Raqueta Tenis	Lugo	Tienda 6	Deporte	 1.339 € 	 118 € 
jun-25	Raqueta Squash	Lugo	Tienda 6	Deporte	 9.690 € 	 8.800 € 
jul-25	Jamón Ibérico	Lugo	Tienda 1	Alimentación	 9.384 € 	 1.362 € 
ago-25	Jamón Bellota	Lugo	Tienda 1	Alimentación	 7.983 € 	 1.259 € 
ene-25	Vino Tinto Gran Reserva	Lugo	Tienda 5	Bebida	 1.955 € 	 137 € 
feb-25	Vino Tinto Crianza	Lugo	Tienda 5	Bebida	 9.659 € 	 2.390 € 
mar-25	Vino Blanco Seco	Lugo	Tienda 5	Bebida	 2.492 € 	 129 € 
abr-25	Vino Blanco Dulce	Lugo	Tienda 1	Bebida	 6.034 € 	 5.903 € 
may-25	Jamón Bellota	Lugo	Tienda 1	Alimentación	 5.284 € 	 3.325 € 
jun-25	Vino Tinto Gran Reserva	Segovia	Tienda 1	Bebida	 2.454 € 	 400 € 
jul-25	Vino Tinto Crianza	Segovia	Tienda 2	Bebida	 1.959 € 	 1.841 € 
ago-25	Vino Blanco Seco	Segovia	Tienda 2	Bebida	 3.523 € 	 2.916 € 
ene-25	Vino Blanco Dulce	Segovia	Tienda 2	Bebida	 7.766 € 	 2.226 € 
feb-25	Camiseta Deporte Naranja	Segovia	Tienda 2	Textil	 9.315 € 	 6.250 € 
mar-25	Camiseta Deporte verde	Segovia	Tienda 2	Textil	 2.696 € 	 514 € 
abr-25	Pantalón Vaquero	Segovia	Tienda 2	Textil	 3.194 € 	 723 € 
may-25	Pantalón Vestir	Segovia	Tienda 2	Textil	 2.549 € 	 306 € 
jun-25	"Televisión 40"""	Segovia	Tienda 4	Electrodoméstico	 7.488 € 	 6.011 € 
jul-25	"Televisión 49"""	Segovia	Tienda 5	Electrodoméstico	 3.861 € 	 3.462 € 
ago-25	"Televisión 52"""	Segovia	Tienda 5	Electrodoméstico	 7.583 € 	 3.043 € 
ene-25	"Televisión 49"""	Segovia	Tienda 5	Electrodoméstico	 6.904 € 	 2.357 € 
feb-25	"Televisión 52"""	Segovia	Tienda 5	Electrodoméstico	 9.611 € 	 6.309 € 
mar-25	Portátil Elite	Segovia	Tienda 5	Informática	 6.805 € 	 4.620 € 
abr-25	Portátil Básico	Segovia	Tienda 5	Informática	 9.280 € 	 2.504 € 
may-25	Pantalón Vaquero	Segovia	Tienda 5	Textil	 2.008 € 	 1.532 € 
jun-25	Camiseta Deporte Naranja	Segovia	Tienda 5	Textil	 1.540 € 	 1.523 € 
jul-25	Camiseta Deporte verde	Segovia	Tienda 5	Textil	 2.814 € 	 1.752 € 
ago-25	Pantalón Vaquero	Segovia	Tienda 4	Textil	 2.008 € 	 928 € 
ene-25	Pantalón Vestir	Segovia	Tienda 4	Textil	 8.627 € 	 5.394 € 
feb-25	"Televisión 40"""	Segovia	Tienda 4	Electrodoméstico	 7.880 € 	 2.339 € 
mar-25	"Televisión 49"""	Segovia	Tienda 4	Electrodoméstico	 8.187 € 	 449 € 
abr-25	"Televisión 52"""	Segovia	Tienda 4	Electrodoméstico	 1.707 € 	 1.135 € 
may-25	Portátil Elite	Salamanca	Tienda 1	Informática	 1.026 € 	 163 € 
jun-25	Portátil Básico	Salamanca	Tienda 1	Informática	 5.850 € 	 1.996 € 
jul-25	Bicicleta Carrera	Salamanca	Tienda 1	Deporte	 5.976 € 	 505 € 
ago-25	Bicicleta Montaña	Salamanca	Tienda 1	Deporte	 1.794 € 	 437 € 
ene-25	Raqueta Tenis	Salamanca	Tienda 3	Deporte	 6.218 € 	 3.047 € 
feb-25	Raqueta Squash	Salamanca	Tienda 3	Deporte	 6.380 € 	 1.533 € 
mar-25	Jamón Ibérico	Salamanca	Tienda 3	Alimentación	 1.524 € 	 1.428 € 
abr-25	Jamón Bellota	Salamanca	Tienda 3	Alimentación	 1.166 € 	 115 € 
may-25	Vino Tinto Gran Reserva	Salamanca	Tienda 3	Bebida	 1.533 € 	 606 € 
jun-25	Vino Tinto Crianza	Salamanca	Tienda 2	Bebida	 1.295 € 	 832 € 
jul-25	Vino Blanco Seco	Salamanca	Tienda 2	Bebida	 3.628 € 	 1.664 € 
ago-25	Vino Blanco Dulce	Salamanca	Tienda 2	Bebida	 4.116 € 	 1.734 € 
ene-25	Jamón Bellota	Salamanca	Tienda 3	Alimentación	 6.344 € 	 2.602 € 
feb-25	Vino Tinto Gran Reserva	Salamanca	Tienda 3	Bebida	 4.279 € 	 4.207 € 
mar-25	Vino Tinto Crianza	Salamanca	Tienda 4	Bebida	 3.377 € 	 2.824 € 
abr-25	Vino Blanco Seco	Salamanca	Tienda 4	Bebida	 6.438 € 	 2.398 € 
may-25	Vino Blanco Dulce	Salamanca	Tienda 4	Bebida	 3.638 € 	 1.055 € 
jun-25	Camiseta Deporte Naranja	Salamanca	Tienda 2	Textil	 1.380 € 	 926 € 
jul-25	Camiseta Deporte verde	Salamanca	Tienda 2	Textil	 4.328 € 	 529 € 
ago-25	Pantalón Vaquero	Salamanca	Tienda 1	Textil	 6.057 € 	 4.506 € 
ene-25	Pantalón Vestir	Salamanca	Tienda 1	Textil	 6.087 € 	 2.768 € 
feb-25	"Televisión 40"""	Salamanca	Tienda 1	Electrodoméstico	 4.221 € 	 2.376 € 
feb-25	Vino Tinto Gran Reserva	Salamanca	Tienda 3	Bebida	 4.279 € 	 4.207 € 
mar-25	Vino Tinto Crianza	Salamanca	Tienda 4	Bebida	 3.377 € 	 2.824 € 
abr-25	Vino Blanco Seco	Salamanca	Tienda 4	Bebida	 6.438 € 	 2.398 € 
may-25	Vino Blanco Dulce	Salamanca	Tienda 4	Bebida	 3.638 € 	 1.055 € 
jun-25	Camiseta Deporte Naranja	Salamanca	Tienda 2	Textil	 1.380 € 	 926 € 
jul-25	Camiseta Deporte verde	Salamanca	Tienda 2	Textil	 4.328 € 	 529 € 
ago-25	Pantalón Vaquero	Salamanca	Tienda 1	Textil	 6.057 € 	 4.506 € 
ene-25	Pantalón Vestir	Salamanca	Tienda 1	Textil	 6.087 € 	 2.768 € 
feb-25	"Televisión 40"""	Salamanca	Tienda 1	Electrodoméstico	 4.221 € 	 2.376 € 
feb-25	Vino Tinto Gran Reserva	Salamanca	Tienda 3	Bebida	 4.279 € 	 4.207 € 
mar-25	Vino Tinto Crianza	Salamanca	Tienda 4	Bebida	 3.377 € 	 2.824 € 
abr-25	Vino Blanco Seco	Vigo	Tienda 4	Bebida	 6.438 € 	 2.398 € 
may-25	Vino Blanco Dulce	Vigo	Tienda 4	Bebida	 3.638 € 	 1.055 € 
jun-25	Camiseta Deporte Naranja	Vigo	Tienda 2	Textil	 1.380 € 	 926 € 
jul-25	Camiseta Deporte verde	Vigo	Tienda 2	Textil	 4.328 € 	 529 € 
ago-25	Pantalón Vaquero	Vigo	Tienda 1	Textil	 6.057 € 	 4.506 € 
ene-25	Pantalón Vestir	Vigo	Tienda 1	Textil	 6.087 € 	 2.768 € 
feb-25	"Televisión 40"""	Vigo	Tienda 1	Electrodoméstico	 4.221 € 	 2.376 € 
feb-25	Vino Tinto Gran Reserva	Salamanca	Tienda 3	Bebida	 4.279 € 	 4.207 € 
mar-25	Vino Tinto Crianza	Salamanca	Tienda 4	Bebida	 3.377 € 	 2.824 € 
abr-25	Vino Blanco Seco	Vigo	Tienda 4	Bebida	 6.438 € 	 2.398 € 
may-25	Vino Blanco Dulce	Vigo	Tienda 4	Bebida	 3.638 € 	 1.055 € 
jun-25	Camiseta Deporte Naranja	Vigo	Tienda 2	Textil	 1.380 € 	 926 € 
jul-25	Camiseta Deporte verde	Vigo	Tienda 2	Textil	 4.328 € 	 529 € 
ago-25	Pantalón Vaquero	Vigo	Tienda 1	Textil	 6.057 € 	 4.506 € 
ene-25	Pantalón Vestir	Vigo	Tienda 1	Textil	 6.087 € 	 2.768 € 
feb-25	"Televisión 40"""	Vigo	Tienda 1	Electrodoméstico	 4.221 € 	 2.376 € 
feb-25	Vino Tinto Gran Reserva	Salamanca	Tienda 3	Bebida	 4.279 € 	 4.207 € 
mar-25	Vino Tinto Crianza	Salamanca	Tienda 4	Bebida	 3.377 € 	 2.824 € 
